title,author,Practices,method,link,Disciplines,journal,medium,keywords,location,Relevance,Impact Scale (0-10),Notes
Legal and ethical framework for global health information and biospecimen exchange-an international perspective,"Bernasconi, Lara; Sen, Selcuk; Angerame, Luca; Balyegisawa, Apolo P.; Hui, Damien Hong Yew; Hotter, Maximilian; Hsu, Chung Y.; Ito, Tatsuya; Jorger, Francisca; Krassnitzer, Wolfgang; Phillips, Adam T.; Li, Rui; Stockley, Louise; Tay, Fabian; Widlund, Charlotte von Heijne; Wan, Ming; Wong, Creany; Yau, Henry; Hiemstra, Thomas F.; Uresin, Yagiz; Senti, Gabriela",,,,,BMC MEDICAL ETHICS,article,Data sharing; Biobanking; Big data; Research policies; International exchange,,,,
Facebook fake profile identification: technical and ethical considerations,"Pourghomi, Pardis; Dordevic, Milan; Safieddine, Fadi",,,,,INTERNATIONAL JOURNAL OF PERVASIVE COMPUTING AND COMMUNICATIONS,article,Policies; Social media; Artificial intelligence; Misinformation; Fake news; Ethical impact; Algorithm,,,,
eXplainable Cooperative Machine Learning with NOVA,"Baur, Tobias; Heimerl, Alexander; Lingenfelser, Florian; Wagner, Johannes; Valstar, Michel F.; Schuller, Bjoern; Andre, Elisabeth",,,,,KUNSTLICHE INTELLIGENZ,article,Annotation; Cooperative machine learning; Explainable AI,,,,
Big data: lessons for employers and employees,"Jeske, Debora; Calvard, Thomas",,,,,EMPLOYEE RELATIONS,article,Data analytics; Ethics; Employment; Big data; Consent,,,,
Mediating role of cloud of things in improving performance of small and medium enterprises in the Indian context,"Narwane, Vaibhav S.; Raut, Rakesh D.; Mangla, Sachin Kumar; Gardas, Bhaskar B.; Narkhede, Balkrishna E.; Awasthi, Anjali; Priyadarshinee, Pragati",,,,,ANNALS OF OPERATIONS RESEARCH,article,Cloud computing; Information transparency; Supply chain management; Smart manufacturing; Small and medium enterprises,,,,
Robotics and automation in the city: a research agenda,"Macrorie, Rachel; Marvin, Simon; While, Aidan",,,,,URBAN GEOGRAPHY,article,Robotics; automation; artificial intelligence; splintered urbanism; socio-spatial sorting,,,,
Health Intervention Evaluation Using Semantic Explainability and Causal Reasoning,"Brenas, Jon Hael; Shaban-Nejad, Arash",,,,,IEEE ACCESS,article,Causal graphs; intervention evaluation; logic models; ontologies; explainable AI; public health program evaluation,,,,
"Trusted UAV Network Coverage Using Blockchain, Machine Learning, and Auction Mechanisms","Khan, Amjad Saeed; Chen, Gaojie; Rahulamathavan, Yogachandran; Zheng, Gan; Assadhan, Basil; Lambotharan, Sangarapillai",,,,,IEEE ACCESS,article,Blockchain; auction; support vector machine; service level agreement; unmanned aerial vehicles; ergodic capacity,,,,
"A Novel Smart Healthcare Design, Simulation, and Implementation Using Healthcare 4.0 Processes","Kumar, Adarsh; Krishnamurthi, Rajalakshmi; Nayyar, Anand; Sharma, Kriti; Grover, Vinay; Hossain, Eklas",,,,,IEEE ACCESS,article,Block; blockchain 3; 0; healthcare 4; 0; Industrial IoT (IIoT); Industry 4; 0; Internet of Things (IoT); mining optimization; smart solution; transaction,,,,
DITrust Chain: Towards Blockchain-Based Trust Models for Sustainable Healthcare IoT Systems,"Abou-Nassar, Eman M.; Iliyasu, Abdullah M.; El-Kafrawy, Passent M.; Song, Oh-Young; Bashir, Ali Kashif; Abd El-Latif, Ahmed A.",,,,,IEEE ACCESS,article,Semantics; Ontologies; Internet of Things; Interoperability; Data models; Sensors; Medical services; Trustworthness; blockchain; security; interoperability; sustainable healthcare IoT systems,,,,
Trust and Reputation Management for Securing Collaboration in 5G Access Networks: The Road Ahead,"Ahmad, Israr; Yau, Kok-Lim Alvin; Ling, Mee Hong; Keoh, Sye Loong",,,,,IEEE ACCESS,article,Next-generation networks; 5G; cooperation; trust and reputation management; artificial intelligence,,,,
"Big Data and surveillance: Hype, commercial logics and new intimate spheres","Ball, Kirstie; Webster, William",,,,,BIG DATA & SOCIETY,article,Surveillance; organisational context; intimate spheres; Big Data Analytics; commercial logics; informational trajectory,,,,
A FRAMEWORK FOR DESIGNING COMPASSIONATE AND ETHICAL ARTIFICIAL INTELLIGENCE AND ARTIFICIAL CONSCIOUSNESS,"Banerjee, Soumya",,,,,INTERDISCIPLINARY DESCRIPTION OF COMPLEX SYSTEMS,article,artificial intelligence; artificial consciousness; engineering intelligence; empathy,,,,
From WOM to aWOM - the evolution of unpaid influence: a perspective article,"Williams, Nigel L.; Ferdinand, Nicole; Bustard, John",,,,,TOURISM REVIEW,article,Natural language processing; WOM; eWOM; Artificial intelligence; aWOM; Chatbot,,,,
The Ethics of AI and The Moral Responsibility of Philosophers,"Boddington, Paula",,,,,TPM-THE PHILOSOPHERS MAGAZINE,article,,,,,
Using Machine Learning in Psychiatry: The Need to Establish a Framework That Nurtures Trustworthiness,"Chandler, Chelsea; Foltz, Peter W.; Elvevag, Brita",,,,,SCHIZOPHRENIA BULLETIN,article,computational psychiatry; artificial intelligence; guidelines; explainability; transparency; generalizability,,,,
Establishing a social licence for Financial Technology: Reflections on the role of the private sector in pursuing ethical data practices,"Aitken, Mhairi; Toreini, Ehsan; Carmichael, Peter; Coopamootoo, Kovila; Elliott, Karen; van Moorsel, Aad",,,,,BIG DATA & SOCIETY,article,Financial Technology; data; social licence; ethics; responsible artificial intelligence; trust,,,,
"Emotional AI, soft biometrics and the surveillance of emotional life: An unusual consensus on privacy","McStay, Andrew",,,,,BIG DATA & SOCIETY,article,Affective computing; biometrics; consensus; data protection; emotional AI; group privacy,,,,
The value of Big Data in government: The case of 'smart cities',"Lofgren, Karl; Webster, C. William R.",,,,,BIG DATA & SOCIETY,article,Big Data; smart cities; public value chain; value chain analysis; eGovernment; privacy,,,,
Guidelines for applied machine learning in construction industry-A case of profit margins estimation,"Bilal, Muhammad; Oyedele, Lukumon O.",,,,,ADVANCED ENGINEERING INFORMATICS,article,Applied machine learning; Profit margin forecasting; Construction simulation tool; Interpretable machine learning; Predictive modelling,,,,
Algorithmic content moderation: Technical and political challenges in the automation of platform governance,"Gorwa, Robert; Binns, Reuben; Katzenbach, Christian",,,,,BIG DATA & SOCIETY,article,Platform governance; content moderation; algorithms; artificial intelligence; toxic speech; copyright,,,,
"Deepfakes and Disinformation: Exploring the Impact of Synthetic Political Video on Deception, Uncertainty, and Trust in News","Vaccari, Cristian; Chadwick, Andrew",,,,,SOCIAL MEDIA + SOCIETY,article,misinformation; disinformation; uncertainty; political deepfakes; online civic culture,,,,
A New Approach for Accurate Detection of Chromosome Rearrangements That Affect Fertility in Cattle,"Jennings, Rebecca L.; Griffin, Darren K.; O'Connor, Rebecca E.",,,,,ANIMALS,article,cattle; translocation; FISH; artificial insemination; subfertility; chromosome; genetics,,,,
High-throughput discovery of genetic determinants of circadian misalignment,"Zhang, Tao; Xie, Pancheng; Dong, Yingying; Liu, Zhiwei; Zhou, Fei; Pan, Dejing; Huang, Zhengyun; Zhai, Qiaocheng; Gu, Yue; Wu, Qingyu; Tanaka, Nobuhiko; Obata, Yuichi; Bradley, Allan; Lelliott, Christopher J.; Nutter, Lauryl M. J.; McKerlie, Colin; Flenniken, Ann M.; Champy, Marie-France; Sorg, Tania; Herault, Yann; De Angelis, Martin Hrabe; Durner, Valerie Gailus; Mallon, Ann-Marie; Brown, Steve D. M.; Meehan, Terry; Parkinson, Helen E.; Smedley, Damian; Lloyd, K. C. Kent; Yan, Jun; Gao, Xiang; Seong, Je Kyung; Wang, Chi-Kuang Leo; Sedlacek, Radislav; Liu, Yi; Rozman, Jan; Yang, Ling; Xu, Ying",,,,,PLOS GENETICS,article,,,,,
MaaS surveillance: Privacy considerations in mobility as a service,"Cottrill, Caitlin D.",,,,,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,article,,,,,
EULAR points to consider for the use of big data in rheumatic and musculoskeletal diseases,"Gossec, Laure; Kedra, Joanna; Servy, Herve; Pandit, Aridaman; Stones, Simon; Berenbaum, Francis; Finckh, Axel; Baraliakos, Xenofon; Stamm, Tanja A.; Gomez-Cabrero, David; Pristipino, Christian; Choquet, Remy; Burmester, Gerd R.; Radstake, Timothy R. D. J.",,,,,ANNALS OF THE RHEUMATIC DISEASES,article,,,,,
Getting value from artificial intelligence in agriculture,"Smith, Matthew J.",,,,,ANIMAL PRODUCTION SCIENCE,article,digital twin; precision; robotics; supply chain; traceability,,,,
From hype to hope to hard work: developing responsible AI for radiology,"Rockall, A.",,,,,CLINICAL RADIOLOGY,article,,,,,
DNA damage in human skin and the capacities of natural compounds to modulate the bystander signalling,"Markiewicz, Ewa; Idowu, Olusola Clement",,,,,OPEN BIOLOGY,article,DNA damage; bystander effect; plant bioactive compounds; artificial intelligence,,,,
Toward a political economy of nudge: smart city variations,"Gandy, Oscar H., Jr.; Nemorin, Selena",,,,,INFORMATION COMMUNICATION & SOCIETY,article,Political economy; smart city; privacy; discrimination,,,,
Predicting Limit-Setting Behavior of Gamblers Using Machine Learning Algorithms: A Real-World Study of Norwegian Gamblers Using Account Data,"Auer, Michael; Griffiths, Mark D.",,,,,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,article,Gambling; Problem gambling; Responsible gambling tools; Limit-setting; Gambling algorithms,,,,
"A review of data-intensive approaches for sustainability: methodology, epistemology, normativity, and ontology","Asokan, Vivek Anand; Yarime, Masaru; Onuki, Motoharu",,,,,SUSTAINABILITY SCIENCE,article,Data-intensive approaches; Sustainability; Sustainability indicators; SDGs; Planetary boundary; Open data; Big data,,,,
Cyborgs as frontline service employees: a research agenda,"Garry, Tony; Harwood, Tracy",,,,,JOURNAL OF SERVICE THEORY AND PRACTICE,article,Cyborgs; Emergent technologies; Frontline service employees; Service and service delivery,,,,
Use of smartphones for detecting diabetic retinopathy: a protocol for a scoping review of diagnostic test accuracy studies,"Tan, Choon Han; Quah, Willie-Henri; Tan, Colin S. H.; Smith, Helen; Car, Lorainne Tudor",,,,,BMJ OPEN,article,,,,,
A Delphi study to build consensus on the definition and use of big data in obesity research,"Vogel, Christina; Zwolinsky, Stephen; Griffiths, Claire; Hobbs, Matthew; Henderson, Emily; Wilkins, Emma",,,,,INTERNATIONAL JOURNAL OF OBESITY,article,,,,,
Ethics of AI and Cybersecurity When Sovereignty is at Stake,"Timmers, Paul",,,,,MINDS AND MACHINES,article,Cybersecurity; Ethics; Artificial intelligence; Sovereignty; Strategic autonomy,,,,
Learning Control Policies of Driverless Vehicles from UAV Video Streams in Complex Urban Environments,"Inder, Katie; De Silva, Varuna; Shi, Xiyu",,,,,REMOTE SENSING,article,driverless vehicles; autonomous vehicles; policy learning; UAV; drone video analysis; autonomous driving; imitation learning,,,,
Real world data in rheumatology,"Hyrich, Kimme L.",,,,,SEMINARS IN ARTHRITIS AND RHEUMATISM,article,,,,,
Artificial Intelligence in Radiotherapy: A Philosophical Perspective,"Bridge, Pete; Bridge, Robert",,,,,JOURNAL OF MEDICAL IMAGING AND RADIATION SCIENCES,article,Artificial intelligence; philosophy; radiotherapy,,,,
Predicting the onset of type 2 diabetes using wide and deep learning with electronic health records,"Nguyen, Binh P.; Pham, Hung N.; Tran, Hop; Nghiem, Nhung; Nguyen, Quang H.; Do, Trang T. T.; Cao Truong Tran; Simpson, Colin R.",,,,,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,article,Electronic health records; Incidence; Onset; Prediction; Type 2 diabetes mellitus; Wide and deep learning,,,,
Earth fissure hazard prediction using machine learning models,"Choubin, Bahram; Mosavi, Amir; Alamdarloo, Esmail Heydari; Hosseini, Farzaneh Sajedi; Shamshirband, Shahaboddin; Dashtekian, Kazem; Ghamisi, Pedram",,,,,ENVIRONMENTAL RESEARCH,article,Hazard prediction; Geohazard; Earth fissure; Machine learning,,,,
"Trust in genomic data sharing among members of the general public in the UK, USA, Canada and Australia","Milne, Richard; Morley, Katherine I.; Howard, Heidi; Niemiec, Emilia; Nicol, Dianne; Critchley, Christine; Prainsack, Barbara; Vears, Danya; Smith, James; Steed, Claire; Bevan, Paul; Atutornu, Jerome; Farley, Lauren; Goodhand, Peter; Thorogood, Adrian; Kleiderman, Erika; Middleton, Anna",,,,,HUMAN GENETICS,article,Data sharing; Public; Trust; Genome; Donation; Survey,,,,
"A Micro-ethnographic Study of Big Data-Based Innovation in the Financial Services Sector: Governance, Ethics and Organisational Practices","Arthur, Keren Naa Abeka; Owen, Richard",,,,,JOURNAL OF BUSINESS ETHICS,article,Financial innovation; Big data; Governance; Ethics; Organisational practices,,,,
"MORAL ORTHOSES: A NEW APPROACH TO HUMAN AND MACHINE ETHICS with Fraser Watts, ""Mutual Enhancement between Science and Religion: In the Footsteps of the Epiphany Philosophers""; William H. Beharrell, ""Transformation and the Waking Body: A Return to Truth via Our Bodies""; Marius Dorobantu and Yorick Wilks, ""Moral Orthoses: A New Approach to Human and Machine Ethics""; Galen Watts, ""Religion, Science, and Disenchantment in Late Modernity""; and Rowan Williams, ""Epiphany Philosophers: Afterword.""","Dorobantu, Marius; Wilks, Yorick",,,,,ZYGON,article,artificial companions; artificial intelligence; embodiment; ethics; explainable AI; David Hume; Neil Lawrence; machine learning; relationality; theology,,,,
"EPIPHANY PHILOSOPHERS: AFTERWORD with Fraser Watts, ""Mutual Enhancement between Science and Religion: In the Footsteps of the Epiphany Philosophers""; William H. Beharrell, ""Transformation and the Waking Body: A Return to Truth via Our Bodies""; Marius Dorobantu and Yorick Wilks, ""Moral Orthoses: A New Approach to Human and Machine Ethics""; Galen Watts, ""Religion, Science, and Disenchantment in Late Modernity""; and Rowan Williams, ""Epiphany Philosophers: Afterword.""","Williams, Rowan",,,,,ZYGON,article,artificial intelligence; body; contemplation; culture; individuality; knowing; participation; relating; secularization; spiritual practices,,,,
Ethics of artificial intelligence in radiology: summary of the joint European and North American multisociety statement,"Geis, J. Raymond; Brady, Adrian; Wu, Carol C.; Spencer, Jack; Ranschaert, Erik; Jaremko, Jacob L.; Langer, Steve G.; Kitts, Andrea Borondy; Birch, Judy; Shields, William F.; van Genderen, Robert van den Hoven; Kotter, Elmar; Gichoya, Judy Wawira; Cook, Tessa S.; Morgan, Matthew B.; Tang, An; Safdar, Nabile M.; Kohli, Marc",,,,,INSIGHTS INTO IMAGING,article,Ethics; Artificial Intelligence; Radiology; Machine Learning; Data,,,,
Radical systems thinking and the future role of computational modelling in ergonomics: an exploration of agent-based modelling,"Holman, Matt; Walker, Guy; Lansdown, Terry; Hulme, Adam",,,,,ERGONOMICS,article,Ergonomics; computational modelling; systems thinking; AI; IoT,,,,
What do you know about me? Digital privacy and online data sharing in the UK insurance sector,"Blakesley, Ian R.; Yallop, Anca C.",,,,,JOURNAL OF INFORMATION COMMUNICATION & ETHICS IN SOCIETY,article,Ethics; Motivation; Data privacy; Insurance; Online data sharing,,,,
Electronic Circular Dichroism Spectroscopy of Proteins,"Rogers, David M.; Jasim, Sarah B.; Dyer, Naomi T.; Auvray, Francois; Refregiers, Matthieu; Hirst, Jonathan D.",,,,,CHEM,article,,,,,
Public Opinions on Using Social Media Content to Identify Users With Depression and Target Mental Health Care Advertising: Mixed Methods Survey,"Ford, Elizabeth; Curlewis, Keegan; Wongkoblap, Akkapon; Curcin, Vasa",,,,,JMIR MENTAL HEALTH,article,social media; depression; mental health; machine learning; public opinion; social license; survey,,,,
Opportunities and challenges for official statistics in a digital society,"Allin, Paul",,,,,CONTEMPORARY SOCIAL SCIENCE,article,UN fundamental principles; evidence-based policy; big data; administrative data; user requirements; research ethics,,,,
Automating Dynamic Consent Decisions for the Processing of Social Media Data in Health Research,"Norval, Chris; Henderson, Tristan",,,,,JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS,article,social media; privacy; informed consent; health support networks; contextual integrity,,,,
Emotional AI and EdTech: serving the public good?,"McStay, Andrew",,,,,LEARNING MEDIA AND TECHNOLOGY,article,Affective computing; creepiness; EdTech; emotional AI; human rights,,,,
Introduction to the Special Section on Trust and AI,"Zhang, Jie; Bentahar, Jamal; Falcone, Rino; Norman, Timothy J.; Sensoy, Murat",,,,,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,article,,,,,
Ethics of Artificial Intelligence in Radiology: Summary of the Joint European and North American Multisociety Statement,"Geis, J. Raymond; Brady, Adrian P.; Wu, Carol C.; Spencer, Jack; Ranschaert, Erik; Jaremko, Jacob L.; Langer, Steve G.; Borondy, Andrea; Birch, Judy; Shields, William F.; van Genderen, Robert van den Hoven; Kotter, Elmar; Gichoya, Judy Wawira; Cook, Tessa S.; Morgan, Matthew B.; Tang, An; Safdar, Nabile M.; Kohli, Marc",,,,,CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,article,Artificial intelligence; Data; Ethics; Machine learning; Radiology,,,,
